run,elapsed,latency,dblatency,ttype,rbk,dskipped,error
144,805,20,20,PAYMENT,0,0,0
144,805,55,55,PAYMENT,0,0,0
144,805,68,68,NEW_ORDER,0,0,0
144,812,78,78,PAYMENT,0,0,0
144,814,134,134,PAYMENT,0,0,0
144,814,56,56,PAYMENT,0,0,0
144,823,80,80,PAYMENT,0,0,0
144,823,320,320,PAYMENT,0,0,0
144,823,35,35,NEW_ORDER,0,0,0
144,823,146,146,PAYMENT,0,0,0
144,829,101,101,PAYMENT,0,0,0
144,829,17,17,PAYMENT,0,0,0
144,829,24,24,PAYMENT,0,0,0
144,829,149,149,NEW_ORDER,0,0,0
144,830,42,42,NEW_ORDER,0,0,0
144,830,102,102,PAYMENT,0,0,0
144,833,38,38,PAYMENT,0,0,0
144,837,197,197,NEW_ORDER,0,0,0
144,837,32,32,PAYMENT,0,0,0
144,839,159,159,NEW_ORDER,0,0,0
144,842,339,339,PAYMENT,0,0,0
144,849,63,63,PAYMENT,0,0,0
144,849,20,20,PAYMENT,0,0,0
144,849,436,436,NEW_ORDER,1,0,0
144,849,95,95,NEW_ORDER,0,0,0
144,849,106,106,NEW_ORDER,0,0,0
144,850,45,45,PAYMENT,0,0,0
144,854,143,143,NEW_ORDER,0,0,0
144,870,115,115,NEW_ORDER,0,0,0
144,870,158,158,PAYMENT,0,0,0
144,870,70,70,PAYMENT,0,0,0
144,870,126,126,NEW_ORDER,0,0,0
144,870,47,47,PAYMENT,0,0,0
144,870,84,84,NEW_ORDER,0,0,0
144,882,12,12,PAYMENT,0,0,0
144,882,128,128,PAYMENT,0,0,0
144,882,116,116,NEW_ORDER,0,0,0
144,882,59,59,PAYMENT,0,0,0
144,883,210,210,NEW_ORDER,0,0,0
144,894,11,11,PAYMENT,0,0,0
144,894,112,112,NEW_ORDER,0,0,0
144,894,365,365,PAYMENT,0,0,0
144,894,94,94,NEW_ORDER,0,0,0
144,894,80,80,NEW_ORDER,0,0,0
144,894,64,64,NEW_ORDER,0,0,0
144,895,0,0,DELIVERY,0,0,0
144,895,136,136,NEW_ORDER,0,0,0
144,895,66,66,NEW_ORDER,0,0,0
144,895,113,113,PAYMENT,0,0,0
144,895,95,95,NEW_ORDER,0,0,0
144,895,113,113,STOCK_LEVEL,0,0,0
144,896,109,109,NEW_ORDER,0,0,0
144,896,141,141,NEW_ORDER,0,0,0
144,916,140,140,PAYMENT,0,0,0
144,916,150,150,NEW_ORDER,0,0,0
144,916,93,93,NEW_ORDER,0,0,0
144,922,134,134,NEW_ORDER,0,0,0
144,922,73,73,PAYMENT,0,0,0
144,922,52,52,NEW_ORDER,0,0,0
144,922,79,79,PAYMENT,0,0,0
144,922,117,117,NEW_ORDER,0,0,0
144,922,189,189,PAYMENT,0,0,0
144,922,122,122,NEW_ORDER,0,0,0
144,922,39,39,PAYMENT,0,0,0
144,922,0,0,DELIVERY,0,0,0
144,927,32,32,ORDER_STATUS,0,0,0
144,934,39,39,ORDER_STATUS,0,0,0
144,934,39,39,ORDER_STATUS,0,0,0
144,937,270,270,PAYMENT,0,0,0
144,937,155,155,NEW_ORDER,0,0,0
144,937,203,203,NEW_ORDER,0,0,0
144,943,304,304,PAYMENT,0,0,0
144,943,207,207,NEW_ORDER,0,0,0
144,943,113,113,PAYMENT,0,0,0
144,943,114,114,PAYMENT,0,0,0
144,943,47,47,PAYMENT,0,0,0
144,945,908,908,NEW_ORDER,0,0,0
144,954,172,172,PAYMENT,0,0,0
144,954,71,71,NEW_ORDER,0,0,0
144,954,60,60,PAYMENT,0,0,0
144,954,121,121,NEW_ORDER,0,0,0
144,954,100,100,NEW_ORDER,0,0,0
144,954,220,220,PAYMENT,0,0,0
144,954,125,125,NEW_ORDER,0,0,0
144,957,30,30,PAYMENT,0,0,0
144,957,202,202,NEW_ORDER,0,0,0
144,965,115,115,PAYMENT,0,0,0
144,974,125,125,PAYMENT,0,0,0
144,980,26,26,NEW_ORDER,0,0,0
144,980,85,85,PAYMENT,0,0,0
144,980,110,110,NEW_ORDER,0,0,0
144,980,58,58,NEW_ORDER,0,0,0
144,980,46,46,PAYMENT,0,0,0
144,980,110,110,NEW_ORDER,0,0,0
144,980,26,26,PAYMENT,0,0,0
144,994,298,298,NEW_ORDER,0,0,0
144,1004,238,238,STOCK_LEVEL,0,0,0
144,1014,34,34,PAYMENT,0,0,0
144,1014,92,92,PAYMENT,0,0,0
144,1014,177,177,NEW_ORDER,0,0,0
144,1014,119,119,NEW_ORDER,0,0,0
144,1014,144,144,NEW_ORDER,0,0,0
144,1015,0,0,DELIVERY,0,0,0
144,1015,35,35,PAYMENT,0,0,0
144,1015,40,40,PAYMENT,0,0,0
144,1015,70,70,NEW_ORDER,0,0,0
144,1016,167,167,NEW_ORDER,0,0,0
144,1019,4,4,PAYMENT,0,0,0
144,1019,103,103,PAYMENT,0,0,0
144,1020,150,150,NEW_ORDER,0,0,0
144,1020,63,63,NEW_ORDER,0,0,0
144,1020,77,77,NEW_ORDER,0,0,0
144,1023,6,6,PAYMENT,0,0,0
144,1024,108,108,NEW_ORDER,0,0,0
144,1024,258,258,PAYMENT,0,0,0
144,1024,129,129,DELIVERY_BG,0,0,0
144,1025,130,130,NEW_ORDER,0,0,0
144,1025,176,176,NEW_ORDER,0,0,0
144,1027,144,144,NEW_ORDER,0,0,0
144,1030,50,50,STOCK_LEVEL,0,0,0
144,1030,9,9,PAYMENT,0,0,0
144,1030,108,108,PAYMENT,0,0,0
144,1030,93,93,NEW_ORDER,0,0,0
144,1030,135,135,PAYMENT,0,0,0
144,1030,244,244,PAYMENT,0,0,0
144,1032,38,38,PAYMENT,0,0,0
